,id,x,y,unique_squirrel_id,shift,date,age,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
447,448,-73.9706929341294,40.7760473872395,13E-PM-1008-06,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
448,449,-73.9701335162984,40.772205101135704,10G-AM-1006-10,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,True,False,False,False,False,False,False
449,450,-73.96442931957729,40.7813829172072,21F-AM-1018-02,AM,10182018,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,False,True,False
450,451,-73.97531406404451,40.7734037805101,9C-AM-1006-02,AM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
451,452,-73.960300330029,40.795347587186896,36B-AM-1013-03,AM,10132018,,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
452,453,-73.959514034869,40.789911786416,31E-PM-1006-02,PM,10062018,Adult,Gray,Ground Plane,under bushes,False,False,False,True,True,,False,True,False,False,False,False,True,False
453,454,-73.9752793195744,40.7733960128931,9C-AM-1006-03,AM,10062018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
454,455,-73.9688574691102,40.7837825208444,21B-AM-1019-04,AM,10192018,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
455,456,-73.9547878025303,40.7899151873467,33I-PM-1006-05,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
456,457,-73.965848283831,40.779724303305706,19F-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,,False,False,True,False,False,,False,False,False,False,False,False,True,False
457,458,-73.97357503529591,40.7694500333777,6F-PM-1008-06,PM,10082018,Adult,Cinnamon,,,False,False,False,False,False,,False,False,False,False,False,False,True,False
458,459,-73.9624546917649,40.7888234959792,29D-AM-1014-04,AM,10142018,Juvenile,Gray,Ground Plane,Rock a,False,False,False,False,True,,False,False,False,False,False,False,True,False
459,460,-73.9549135206961,40.798525897229,42D-PM-1013-03,PM,10132018,Adult,Gray,Above Ground,in tree,False,False,False,True,False,,False,False,False,False,False,False,True,False
460,461,-73.96481954331921,40.7796399955868,19G-PM-1017-03,PM,10172018,Adult,Cinnamon,Ground Plane,,False,False,True,True,False,staring,False,False,False,False,True,False,False,False
461,462,-73.96617859405309,40.7742569936186,13I-PM-1008-01,PM,10082018,Adult,Gray,Above Ground,climbed tree,True,False,True,False,False,,False,False,False,False,False,False,True,False
462,463,-73.95921030643271,40.7904390691553,32E-PM-1017-10,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,True
463,464,-73.96644503991209,40.788784490469496,27A-AM-1008-02,AM,10082018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
464,465,-73.9683041099256,40.786265230008205,24A-AM-1014-01,AM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
465,466,-73.97030871607099,40.7763985667344,14E-AM-1008-20,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False
466,467,-73.95797241199429,40.794870990001606,37D-AM-1018-01,AM,10182018,Juvenile,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
467,468,-73.9780659679557,40.7672382282781,1D-PM-1007-06,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
468,469,-73.9717201378775,40.776120280884,13D-PM-1018-02,PM,10182018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
469,470,-73.95812430217221,40.794431473386,36D-AM-1007-01,AM,10072018,Adult,Cinnamon,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,False,True
470,471,-73.97072153948871,40.7727508149058,10G-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,chasing (#6),True,False,False,False,False,False,False,False
471,472,-73.9702721244652,40.7701011774207,7H-AM-1006-15,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
472,473,-73.95701300171591,40.799602742862504,42B-AM-1014-02,AM,10142018,Adult,Black,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
473,474,-73.9540652304705,40.7955226178199,39G-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
474,475,-73.9697855573137,40.7742186391935,12F-PM-1007-05,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
475,476,-73.9690968160819,40.769923269444,8I-AM-1006-08,AM,10062018,Adult,Gray,Above Ground,tree,False,False,False,False,False,,True,True,False,False,False,False,False,False
476,477,-73.97014812002979,40.7751110354034,12F-AM-1020-06,AM,10202018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
477,478,-73.954482814186,40.7987031768001,42D-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,watching passers-by,False,False,False,False,False,True,True,False
478,479,-73.95694033658471,40.795659960879796,38D-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
479,480,-73.9641293283734,40.7907654006019,30B-AM-1007-03,AM,10072018,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,False,False,False,False,False
480,481,-73.9714303315699,40.774593494770606,11E-AM-1013-04,AM,10132018,Adult,Black,Ground Plane,,False,False,False,False,True,burying,False,False,False,False,False,False,True,False
481,482,-73.97217978245759,40.7801213843628,16A-PM-1019-07,PM,10192018,Juvenile,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,True,False,False
482,483,-73.9789952029637,40.7697758333099,4B-AM-1010-03,AM,10102018,Juvenile,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
483,484,-73.9666526554772,40.7756111718355,14H-AM-1007-02,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
484,485,-73.9677423154682,40.7728813350245,11I-AM-1012-02,AM,10122018,Adult,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
485,486,-73.971213385696,40.769872094337,7H-AM-1006-04,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
486,487,-73.9666521094255,40.7842753517648,23C-PM-1014-02,PM,10142018,Adult,Gray,Ground Plane,"in bushes, then ran across path",True,False,False,False,True,,False,False,False,False,False,False,False,False
487,488,-73.9615751148595,40.795455123814605,36A-AM-1018-01,AM,10182018,Juvenile,Gray,Above Ground,,False,False,False,True,False,eating (red berries),False,False,False,False,False,False,True,False
488,489,-73.97780296909,40.7676321060669,2D-AM-1007-06,AM,10072018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
489,490,-73.978426472499,40.771904101844,6A-PM-1012-04,PM,10122018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
490,491,-73.9688470831269,40.7844651946415,22A-AM-1008-03,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
491,492,-73.97030108562241,40.7701983575511,8H-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
492,493,-73.97768547979159,40.768310229566296,3D-AM-1006-04,AM,10062018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
493,494,-73.958837574505,40.7985003987784,40A-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
494,495,-73.9801007327506,40.7677455633932,1B-PM-1019-06,PM,10192018,Juvenile,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
495,496,-73.9548430741605,40.798207350942,41E-AM-1007-06,AM,10072018,Adult,Gray,Above Ground,tree,False,False,True,False,True,,False,False,False,False,False,False,False,False
496,497,-73.96021668769791,40.7953811003986,36B-AM-1013-04,AM,10132018,,Black,Above Ground,Moved 20+ feet high above top of tree limb,False,False,False,False,False,,False,False,False,False,False,False,False,True
497,498,-73.9669432929573,40.779136518298,18F-AM-1014-01,AM,10142018,Adult,Gray,Above Ground,Low tree,False,False,False,True,False,,False,False,False,False,False,False,True,False
498,499,-73.96572880550109,40.776458003628704,16H-PM-1014-04,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
499,500,-73.95683055130169,40.7974086631267,40C-PM-1006-05,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
500,501,-73.9708798496132,40.7761532088521,13D-AM-1014-06,AM,10142018,Adult,Gray,Ground Plane,,True,False,False,True,False,,False,False,False,False,False,False,False,True
501,502,-73.96833124530109,40.780166168571206,18D-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
502,503,-73.9598340783572,40.7915857030295,33D-PM-1006-02,PM,10062018,,Gray,Above Ground,,False,False,False,False,False,,False,False,False,False,False,False,False,True
503,504,-73.95334760207359,40.7933003544685,37H-PM-1006-02,PM,10062018,Adult,Gray,Ground Plane,tree,True,False,True,False,True,,True,False,False,False,False,False,False,True
504,505,-73.9677387336667,40.774269591199996,12H-PM-1007-02,PM,10072018,Adult,Gray,Above Ground,in tree,False,False,True,True,False,peanuts,False,False,False,False,False,False,True,False
505,506,-73.9649611089685,40.7814371834837,21F-AM-1018-05,AM,10182018,Adult,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,True,False,False,True
506,507,-73.9744835563086,40.7729521433235,9D-AM-1008-01,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,True,False,False,False,True
507,508,-73.97469187620759,40.765523188367794,1G-AM-1006-02,AM,10062018,Juvenile,Gray,Above Ground,,False,False,True,False,True,,False,False,False,False,True,False,True,False
508,509,-73.9714289592392,40.775067070209296,12E-PM-1018-04,PM,10182018,Adult,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
509,510,-73.9638590768396,40.777678211498106,18I-AM-1017-02,AM,10172018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,True,False,False,True
510,511,-73.9653142636891,40.776001512929795,15I-AM-1008-04,AM,10082018,Adult,Gray,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,True
511,512,-73.9586098170241,40.793965373389796,35D-AM-1019-01,AM,10192018,,,Above Ground,"on tree, blue jays gathering nearby",False,False,False,False,False,,True,False,False,False,False,False,False,False
512,513,-73.96310068980699,40.7920255189467,32B-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,False,False,True
513,514,-73.9768357173861,40.7683813358343,3D-PM-1010-12,PM,10102018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,True,False,False,False,False,False,False
514,515,-73.9601486483164,40.7943724108626,35C-PM-1013-02,PM,10132018,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False
515,516,-73.9597418366664,40.7964417084985,37B-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
516,517,-73.954959868822,40.7985404965582,41D-PM-1014-03,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
517,518,-73.96878474106559,40.778185700305,16E-AM-1014-09,AM,10142018,Adult,Gray,Above Ground,In tree,False,False,True,False,False,,False,False,False,False,False,False,True,False
518,519,-73.96590102384171,40.7791683666215,18G-PM-1013-02,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
519,520,-73.97494466297059,40.77206596960671,7D-PM-1010-01,PM,10102018,Adult,Gray,Ground Plane,outside fenced hectare,True,False,False,False,False,,False,False,False,False,False,False,False,False
520,521,-73.971322876671,40.771414508636106,8G-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
521,522,-73.97738211356109,40.769045349438294,4C-PM-1010-06,PM,10102018,Adult,Gray,Ground Plane,behind playground benches,False,False,False,True,False,,False,False,False,False,True,False,False,True
522,523,-73.9793103340869,40.767820153596794,1C-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
523,524,-73.970173142921,40.77623499240811,14E-AM-1008-19,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
524,525,-73.952526164386,40.796375924050395,40G-AM-1007-02,AM,10072018,Juvenile,Cinnamon,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,True,False
525,526,-73.9680833729772,40.774187102511505,12H-PM-1007-08,PM,10072018,,,Above Ground,in tree,False,False,False,False,False,,False,False,False,False,False,False,False,True
526,527,-73.9632646049622,40.781740129208295,22G-AM-1018-05,AM,10182018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
527,528,-73.9647284206644,40.7839611840884,23E-PM-1006-01,PM,10062018,Adult,Gray,Above Ground,on a tree,True,False,False,False,False,,False,False,False,False,False,False,False,True
